Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Total Irr,Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),Including Shade,Scaled For System,Better Shade Calc,Scaled 2,Diff,Ideal,Shaded Daily Output (W),Ideal Daily Output (W),Percentage
1,1,0,0,0,0,15,2.5,0.13,0,15,0,0,,,,,,,,
1,1,1,0,0,0,14,2.5,0.13,0,14,0,0,,,,,,,,
1,1,2,0,0,0,14,2.5,0.13,0,14,0,0,,,,,,,,
1,1,3,0,0,0,14,2.4,0.13,0,14,0,0,,,,,,,,
1,1,4,0,0,0,13,2.3,0.13,0,13,0,0,,,,,,,,
1,1,5,0,0,0,13,2.3,0.13,0,13,0,0,,,,,,,,
1,1,6,0,0,0,13,2.3,0.13,0,13,0,0,,,,,,,,
1,1,7,0,0,0,14,2.8,0.13,0,0,0,0,,,,,,,,
1,1,8,433,68,501,16,3,0.13,299.034,23.037,272.13,40.8195,462.89313,36.93580838,418.8520671,-44.04106293,3085.9542,21296.5024,32173.77996,0.6619210559
1,1,9,116,164,280,19,2.7,0.13,248.035,25.154,223.543,33.53145,380.246643,130.9323286,1484.772606,1104.525963,2534.97762,21296.5024,32173.77996,0.6619210559
1,1,10,784,97,881,21,2.2,0.13,618.029,37.85,542.44,81.366,922.69044,59.72381385,677.268049,-245.422391,6151.2696,21296.5024,32173.77996,0.6619210559
1,1,11,831,103,934,22,1.6,0.13,650.118,42.036,557.872,557.872,6326.26848,557.872,6326.26848,0,6326.26848,21296.5024,32173.77996,0.6619210559
1,1,12,846,105,951,23,1.4,0.13,609.679,42.642,520.42,520.42,5901.5628,520.42,5901.5628,0,5901.5628,21296.5024,32173.77996,0.6619210559
1,1,13,817,110,927,24,1.4,0.13,504.021,40.21,430.813,430.813,4885.41942,430.813,4885.41942,0,4885.41942,21296.5024,32173.77996,0.6619210559
1,1,14,0,151,151,24,1.3,0.13,140.985,28.631,120.747,120.747,1369.27098,120.747,1369.27098,0,1369.27098,21296.5024,32173.77996,0.6619210559
1,1,15,682,90,772,23,1.2,0.13,173.703,28.45,119.557,119.557,1355.77638,13.93799223,158.0568319,-1197.719548,1355.77638,21296.5024,32173.77996,0.6619210559
1,1,16,473,69,542,22,1,0.13,51.109,23.808,42.926,42.926,486.78084,5.464749077,61.97025454,-424.8105855,486.78084,21296.5024,32173.77996,0.6619210559
1,1,17,68,14,82,20,1,0.13,13.578,20.405,6.746,6.746,76.49964,1.151756098,13.06091415,-63.43872585,76.49964,21296.5024,32173.77996,0.6619210559
1,1,18,0,0,0,19,1.4,0.13,0,19,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,1,19,0,0,0,18,1.8,0.13,0,18,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,1,20,0,0,0,17,2.2,0.13,0,17,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,1,21,0,0,0,17,2.4,0.13,0,17,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,1,22,0,0,0,16,2.4,0.13,0,16,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,1,23,0,0,0,15,2.3,0.13,0,15,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,2,0,0,0,0,15,2.1,0.13,0,15,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,1,0,0,0,15,2,0.13,0,15,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,2,0,0,0,14,1.9,0.13,0,14,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,3,0,0,0,14,1.9,0.13,0,14,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,4,0,0,0,14,2,0.13,0,14,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,5,0,0,0,14,2,0.13,0,14,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,6,0,0,0,14,2,0.13,0,14,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,7,0,0,0,15,2.3,0.13,0,0,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,8,116,80,196,18,2.3,0.13,149.412,21.981,132.968,19.9452,226.178568,54.27265306,615.4518857,389.2733177,1507.85712,22143.56981,30450.66696,0.7271949032
1,2,9,162,160,322,20,1.7,0.13,270.261,28.154,241.786,36.2679,411.277986,120.1421118,1362.411548,951.1335618,2741.85324,22143.56981,30450.66696,0.7271949032
1,2,10,432,189,621,22,1,0.13,489.192,39.369,422.861,63.42915,719.286561,128.6968261,1459.422008,740.1354468,4795.24374,22143.56981,30450.66696,0.7271949032
1,2,11,822,107,929,23,0.7,0.13,649.649,47.968,543.843,543.843,6167.17962,543.843,6167.17962,0,6167.17962,22143.56981,30450.66696,0.7271949032
1,2,12,839,109,948,24,0.7,0.13,611.054,47.47,511.143,511.143,5796.36162,511.143,5796.36162,0,5796.36162,22143.56981,30450.66696,0.7271949032
1,2,13,549,198,747,24,0.8,0.13,454.641,40.953,385.519,385.519,4371.78546,385.519,4371.78546,0,4371.78546,22143.56981,30450.66696,0.7271949032
1,2,14,381,207,588,24,0.6,0.13,312.462,36.206,259.559,259.559,2943.39906,91.37536224,1036.196608,-1907.202452,2943.39906,22143.56981,30450.66696,0.7271949032
1,2,15,49,161,210,23,0.5,0.13,147.794,28.969,125.436,125.436,1422.44424,96.1676,1090.540584,-331.903656,1422.44424,22143.56981,30450.66696,0.7271949032
1,2,16,230,84,314,22,0.6,0.13,65.34,24.574,55.418,55.418,628.44012,14.82519745,168.1177391,-460.3223809,628.44012,22143.56981,30450.66696,0.7271949032
1,2,17,0,14,14,21,0.8,0.13,13.578,21.426,6.711,6.711,76.10274,6.711,76.10274,0,76.10274,22143.56981,30450.66696,0.7271949032
